id,source,target,description,weight,combined_degree
321,CREDIT SCORING AI SYSTEM,HIGH RISK,"The Credit Scoring AI System is consistently classified as a high-risk technology. This classification is primarily driven by the system's significant influence on an individual's financial well-being and access to essential resources. Because these AI systems directly determine eligibility for loans, credit, and other critical services, their potential to impact access to vital life necessities places them firmly within the high-risk category.",30.0,20
2414,HIGH-RISK AI SYSTEM,REGISTRATION OBLIGATION,"According to the established regulations, high-risk AI systems are subject to a mandatory registration obligation. Specifically, all high-risk AI systems must be registered in the EU database, as required by and in accordance with the provisions set forth in Article 49.",30.0,170
1392,NOTIFIED BODY,ARTICLE 31,"The Notified Body is subject to specific regulatory obligations that dictate its operational and compliance standards. Primarily, the requirements for a Notified Body are defined in Article 31. Accordingly, a Notified Body must meet all the criteria established within this article to maintain its status and regulatory standing. Specifically, the compliance of a Notified Body is assessed based on the detailed requirements laid down in Article 31, paragraphs 4, 5, 10, and 11.",30.0,68
2033,COMPLAINT,ARTICLE 85,"Article 85 serves as the legal foundation for the complaint process, establishing both the right of individuals to lodge a complaint and the procedural framework governing how such complaints are handled. Specifically, Article 85 defines the right to lodge a complaint, ensuring that this process is formally established and regulated.",30.0,7
1162,TECHNICAL DOCUMENTATION,ARTICLE 11,"Technical documentation is formally defined and its specific requirements are established within Article 11. Consequently, Article 11 serves as the regulatory framework that governs both the nature and the compliance standards for technical documentation.",30.0,52
1215,ARTICLE 16,PROVIDER,"Article 16 establishes a regulatory framework that applies directly to providers. Specifically, Article 16 serves to define and set out the various obligations that providers must adhere to within this context.",30.0,168
194,LAW ENFORCEMENT AUTHORITY,PRIOR AUTHORISATION,"Law enforcement authorities are under a mandatory obligation to secure prior authorisation before engaging in the deployment or implementation of their systems. This requirement ensures that there is appropriate oversight and approval in place before any such systems are put into operation, whether the action involves the initial deployment of resources or the active use of a specific system.",30.0,37
1164,RECORD-KEEPING,ARTICLE 12,"Regarding the entities of record-keeping and Article 12, Article 12 serves as the regulatory framework that defines both the requirements and the obligations associated with record-keeping.",30.0,10
472,ENISA,REGULATION (EU) 2019/881,"ENISA (the European Union Agency for Cybersecurity) operates under the comprehensive legal framework established and governed by Regulation (EU) 2019/881. This regulation serves as the foundational authority for the agency, defining its specific operational tasks, its overarching mandate regarding cybersecurity policy, and its general governance structure. Consequently, ENISA functions entirely within the parameters and mandates set forth by this EU regulation.",30.0,7
406,HIGH-RISK AI SYSTEM,RECORD-KEEPING,"**High-risk AI systems** are subject to strict **record-keeping** requirements. Under these obligations, developers and deployers of such systems are mandated to implement robust record-keeping capabilities, which must specifically include automatic logging functionality. These requirements are explicitly defined to ensure accountability and transparency, with the obligation to maintain these record-keeping systems established under Article 12.",29.0,167
2441,ECRIS-TCN,REGULATION (EU) 2019/816,"**ECRIS-TCN** is a centralized system established by **Regulation (EU) 2019/816**. This regulation defines the framework and legal basis for the ECRIS-TCN system, which is a key component in the European Union's information exchange infrastructure regarding criminal records.",29.0,2
610,EUROPEAN COMMISSION,GENERAL-PURPOSE AI MODEL,"The European Commission is the governing body responsible for the supervision and enforcement of specific regulatory obligations imposed on providers of general-purpose AI models. Beyond merely overseeing compliance, the European Commission is tasked with designating the specific models or providers subject to these requirements, thereby holding the formal competence to ensure that general-purpose AI models operate within the defined legal frameworks and standards set forth by the governing authorities.",29.0,129
1765,MARKET SURVEILLANCE AUTHORITY,TESTING IN REAL WORLD CONDITIONS,"The Market Surveillance Authority serves a critical role in overseeing Testing in Real World Conditions, ensuring that all such operations remain fully compliant with the Act. This authority is responsible for enforcing strict compliance and maintaining rigorous oversight throughout the lifecycle of these tests. Furthermore, the Market Surveillance Authority holds the power to intervene when necessary, possessing the regulatory authority to suspend or terminate Testing in Real World Conditions, or, alternatively, to mandate specific modifications to ensure that all operational standards are met.",29.0,102
740,MEMBER STATES,AI REGULATORY SANDBOX,"**Member States** are formally obligated to ensure the creation and implementation of **AI Regulatory Sandboxes**. This mandate requires **Member States** to guarantee that their respective competent authorities establish these sandboxes by the deadline of August 2, 2026. Through these requirements, **Member States** ensure a structured environment for the testing and oversight of artificial intelligence technologies.",29.0,67
45,PROVIDER,AI SYSTEM,"A PROVIDER is defined by its role in the lifecycle of an AI SYSTEM, which involves three primary actions: developing, placing on the market, or putting into service the AI SYSTEM. Collectively, these descriptions establish that a PROVIDER is responsible for bringing an AI SYSTEM into circulation, whether by creating the technology itself (developing) or by making it available for use through commercial distribution (placing on the market) or operational deployment (putting into service).",29.0,221
61,BIOMETRIC IDENTIFICATION,BIOMETRIC DATA,"Biometric identification is a process that relies on the analysis and processing of biometric data to accurately establish or verify an individual's identity. By utilizing these unique biological or behavioral characteristics, biometric identification systems are able to distinguish and confirm specific individuals within a given population.",29.0,8
1336,DEPLOYER,REGISTRATION OBLIGATION,"Under Article 49(3) of the relevant framework, a Deployer is subject to specific registration obligations concerning the use of high-risk AI systems. This mandate requires the Deployer—particularly when acting as a public authority—to register pertinent information regarding these systems within the designated EU database. Consequently, the Deployer holds a mandatory obligation to ensure compliance with these regulatory filing requirements as stipulated by Article 49.",29.0,91
683,HIGH-RISK AI SYSTEM,CE MARKING,"High-risk AI systems are required to bear the CE marking to demonstrate their full compliance with the relevant regulations. This requirement is a mandatory step for these systems, serving as both a certification of adherence to safety and quality standards and a prerequisite for their operation. By affixing the CE marking, high-risk AI systems are formally authorized to move freely within the internal market, ensuring they meet the necessary legal and safety criteria for deployment across the European Union.",29.0,167
444,INSTRUCTIONS FOR USE,DEPLOYER,"**INSTRUCTIONS FOR USE** serve as a critical resource for the **DEPLOYER**, offering essential guidance regarding the operation of the system. Additionally, these instructions are designed to support and assist the **DEPLOYER** in making informed decisions throughout the deployment and utilization process.",28.0,88
742,INNOVATIVE AI SYSTEM,AI REGULATORY SANDBOX,"The AI regulatory sandbox serves as a controlled environment where innovative AI systems are systematically developed, tested, and validated. Within this framework, these technologies undergo rigorous assessment to ensure they meet necessary standards and safety protocols before broader implementation. By providing a structured space for this development and validation process, the AI regulatory sandbox facilitates the responsible advancement of innovative AI systems.",28.0,31
1000,CE MARKING,"CHAPTER III, SECTION 2","CE Marking serves as an official indicator of conformity with the standards and requirements outlined in Chapter III, Section 2. Beyond merely indicating this compliance, the presence of CE marking establishes a presumption of conformity with these specified regulatory requirements. Together, these elements affirm that products bearing the CE mark have met the necessary criteria set forth in Chapter III, Section 2.",28.0,17
837,EUROPEAN DATA PROTECTION SUPERVISOR,MARKET SURVEILLANCE AUTHORITY,"The European Data Protection Supervisor (EDPS) serves as the designated market surveillance authority for all European Union institutions, bodies, offices, and agencies. In this capacity, the European Data Protection Supervisor ensures regulatory oversight and compliance regarding data protection standards within these specific governmental and administrative organizations.",28.0,103
256,HIGH-RISK AI SYSTEM,FUNDAMENTAL RIGHTS,"**HIGH-RISK AI SYSTEMS** and **FUNDAMENTAL RIGHTS** are intrinsically linked within the regulatory framework governing artificial intelligence. The classification of a **HIGH-RISK AI SYSTEM** is determined by the potential severity of its impact on **FUNDAMENTAL RIGHTS**. Specifically, this classification process relies heavily on assessing the extent to which an AI system might have an adverse effect on these rights. Furthermore, beyond the initial classification, it is a mandatory requirement that all **HIGH-RISK AI SYSTEMS** be designed and operated in a manner that does not hamper or infringe upon **FUNDAMENTAL RIGHTS**.",28.0,162
1391,NOTIFIED BODY,CONFIDENTIALITY OBLIGATION,"A Notified Body is subject to a strict confidentiality obligation regarding all information acquired during the course of its operations and assessments. This mandate requires the Notified Body to actively safeguard any confidential data it obtains, ensuring that such information remains protected and is not disclosed inappropriately. Furthermore, these confidentiality requirements are formally defined and governed by Article 78, which outlines the legal framework and specific responsibilities the Notified Body must uphold to maintain the integrity and security of the information entrusted to it.",28.0,68
644,EUROPEAN COMMISSION,IMPLEMENTING ACTS,"The European Commission utilizes Implementing Acts as a key legal mechanism to fulfill its regulatory responsibilities. Specifically, the European Commission adopts these acts to establish Common Specifications and to approve codes of practice, ensuring consistent standards and regulatory alignment across its areas of jurisdiction.",27.0,91
1168,DELEGATED ACT,ANNEX IV,"**Delegated acts** are utilized to modify **Annex IV** in order to ensure that the requirements for technical documentation remain current and accurate. By allowing these modifications, the framework can adapt to necessary updates without requiring a full legislative overhaul, thereby maintaining the ongoing relevance and compliance of the technical documentation standards outlined within **Annex IV**.",27.0,34
1408,NOTIFIED BODY,NOTIFYING AUTHORITY,"The Notified Body and the Notifying Authority maintain a formal regulatory relationship defined by specific communication requirements regarding compliance and operational structure. Under Article 45, a Notified Body is mandated to inform the Notifying Authority of its assessment results and any certification decisions it has reached. Furthermore, pursuant to Article 33, the Notified Body must notify the Notifying Authority regarding its use of any subcontractors or subsidiaries to carry out specific tasks related to its conformity assessment activities. Collectively, these requirements ensure that the Notifying Authority retains oversight over the Notified Body's decision-making processes and organizational arrangements.",27.0,84
1764,PROVIDER,TESTING IN REAL WORLD CONDITIONS,"The Provider is subject to strict regulatory requirements when conducting testing in real-world conditions. These obligations ensure that the Provider maintains accountability throughout the testing process. Specifically, the Provider is held liable under applicable law for any damages that may arise during the course of such testing. Furthermore, to ensure ongoing compliance and safety, the Provider is required to modify aspects of their testing in real-world conditions if directed to do so by market surveillance authorities.",27.0,177
2406,NOTIFIED BODY,QUALITY MANAGEMENT SYSTEM,"A Notified Body is responsible for the ongoing assessment and monitoring of a manufacturer’s Quality Management System. Specifically, a Notified Body conducts evaluations of the Quality Management System in accordance with the requirements set forth in Annex VII. Additionally, the Notified Body is tasked with conducting surveillance of the approved Quality Management System to ensure continued compliance and effectiveness.",27.0,83
395,DEPLOYER,INSTRUCTIONS FOR USE,"The Deployer, who receives necessary guidance from the provider via the Instructions for Use, plays a critical role in the safe and compliant operation of the system. It is mandatory for the Deployer to utilize the system strictly in accordance with these Instructions for Use. Furthermore, the Deployer relies on the Instructions for Use to maintain awareness of all potential risks associated with operating the high-risk AI system, ensuring that operations are conducted safely and responsibly.",27.0,88
1080,MARKET SURVEILLANCE AUTHORITY,REPORTING OBLIGATION,"The Market Surveillance Authority is subject to a specific reporting obligation concerning its oversight activities and incident management. This authority is required to submit comprehensive reports to the European Commission on an annual basis. Furthermore, this reporting obligation extends to relevant competition authorities, ensuring transparency and regulatory alignment. 

In addition to these annual requirements, the Market Surveillance Authority must adhere to strict timelines regarding the management of safety or compliance concerns. Specifically, upon the receipt of a notification regarding a serious incident, the Market Surveillance Authority is mandated to take necessary and appropriate measures within seven days. These combined responsibilities ensure that the Market Surveillance Authority maintains rigorous oversight and timely communication with oversight bodies and the Commission.",27.0,103
830,NOTIFYING AUTHORITY,MEMBER STATES,"Member States are required to designate at least one notifying authority to oversee and communicate matters regarding conformity assessment bodies. In this capacity, the notifying authority serves as the official point of communication with Member States. Specifically, the notifying authority is responsible for informing Member States of any approved conformity assessment bodies, as mandated by Article 30. Furthermore, the notifying authority must keep Member States updated regarding any changes to the status of notified bodies.",27.0,62
1005,MARKET SURVEILLANCE AUTHORITY,AI SYSTEM,"The Market Surveillance Authority is responsible for the oversight and regulation of AI systems to ensure they meet established legal standards. Its primary role involves conducting formal evaluations of these AI systems to verify their adherence to requirements. Beyond evaluation, the Market Surveillance Authority is tasked with enforcing compliance, ensuring that any AI system operating within its jurisdiction aligns with mandatory regulations. Specifically, this monitoring and enforcement process is carried out pursuant to Regulation (EU) 2019/1020, which governs the framework for market surveillance and compliance for products, including AI systems.",27.0,146
973,OPERATOR,AUTHORISED REPRESENTATIVE,"Based on the provided data, the relationship between an OPERATOR and an AUTHORISED REPRESENTATIVE can be defined as follows:

Within the context of the Regulation, the OPERATOR is a broad category that encompasses the role of an AUTHORISED REPRESENTATIVE. Consequently, an AUTHORISED REPRESENTATIVE is categorized as, or belongs to the category of, an OPERATOR. This classification indicates that the AUTHORISED REPRESENTATIVE is effectively a sub-group or a specific type of entity falling under the regulatory definition of an OPERATOR.",27.0,43
1479,IMPLEMENTING ACT,ARTICLE 98(2),"The **Implementing Act** is established to address common rules and specifications. In accordance with **Article 98(2)**, this **Implementing Act** must be adopted using the specific examination procedure defined within that same article. Consequently, any **Implementing Act** concerning common specifications or common rules is governed by the regulatory framework outlined in **Article 98(2)**.",27.0,14
1686,EUROPEAN DATA PROTECTION SUPERVISOR,"UNION INSTITUTIONS, BODIES, OFFICES AND AGENCIES","The European Data Protection Supervisor (EDPS) serves as the independent supervisory authority responsible for overseeing and enforcing data protection compliance among Union institutions, bodies, offices, and agencies. In this capacity, the European Data Protection Supervisor ensures that these entities adhere to strict regulatory standards regarding the processing of personal data. To fulfill its mandate, the European Data Protection Supervisor possesses the authority to enforce compliance by imposing fines on Union entities that fail to meet these requirements. Furthermore, the European Data Protection Supervisor actively supports innovation and regulatory alignment by establishing and managing sandboxes specifically designed for Union institutions, bodies, offices, and agencies to test and develop data-compliant solutions.",27.0,21
971,OPERATOR,PROVIDER,"The entities OPERATOR and PROVIDER share a hierarchical relationship defined by classification. Specifically, OPERATOR acts as a category or classification group that encompasses the entity PROVIDER. Therefore, a PROVIDER is considered a subset of the broader OPERATOR category. While some initial terminology may suggest an alternative relationship, the consistent definition is that the OPERATOR serves as the encompassing category that includes the PROVIDER.",27.0,179
972,OPERATOR,DEPLOYER,"In the context of the relevant regulatory framework, the entities ""OPERATOR"" and ""DEPLOYER"" exist in a defined hierarchical relationship. Specifically, the category of ""OPERATOR"" encompasses the role or function of a ""DEPLOYER."" According to the regulations, a ""DEPLOYER"" is considered a sub-category or a subset that falls within the broader classification of an ""OPERATOR."" Consequently, any entity classified as a ""DEPLOYER"" is inherently included within the definition and regulatory scope of an ""OPERATOR.""",27.0,96
924,HIGH-RISK AI SYSTEM,SUBSTANTIAL MODIFICATION,"High-risk AI systems are subject to specific regulatory obligations in the event of a substantial modification. A substantial modification to a high-risk AI system triggers a new conformity assessment, ensuring that the system continues to meet regulatory standards after the changes have been implemented. Additionally, such modifications necessitate compliance with logging requirements to maintain accountability and transparency.

Furthermore, these regulations apply to high-risk AI systems that were placed on the market before the official date of application, but only if those systems undergo a substantial modification. In such cases, the modification acts as a threshold that brings pre-existing systems under the scope of the current regulatory framework.",27.0,165
974,OPERATOR,IMPORTER,"In the context of the relationship between these entities, an ""OPERATOR"" is defined as a broad category that encompasses the entity known as an ""IMPORTER."" Consequently, the ""IMPORTER"" is classified as falling within the ""OPERATOR"" category. While there is a slight semantic contradiction in the provided data suggesting that an ""OPERATOR"" belongs to the category of an ""IMPORTER,"" the consensus among the descriptions establishes that the ""OPERATOR"" functions as the overarching classification, and the ""IMPORTER"" is a specific subset or type included within that ""OPERATOR"" category.",27.0,40
86,PROVIDER,AI LITERACY,"The Provider is subject to significant obligations regarding AI literacy, serving as a primary target for regulatory requirements aimed at ensuring proper compliance and enforcement within the domain of artificial intelligence. It is mandated that the Provider possesses a high level of AI literacy, which is considered essential for adhering to relevant standards and operational guidelines. Furthermore, the Provider holds a specific obligation to actively ensure that its staff is equipped with the necessary AI literacy, thereby fostering a knowledgeable workforce capable of meeting compliance and enforcement expectations across the organization.",26.0,170
141,AI SYSTEM,TRANSPARENCY OBLIGATION,"Under the Regulation, AI systems, particularly those categorized under specific types, are subject to transparency obligations. These requirements ensure that the operation and deployment of AI systems remain accountable and clear, mandating that relevant transparency standards are upheld throughout their lifecycle.",26.0,75
1420,NOTIFIED BODY,PROVIDER,"In the context of regulatory compliance and administrative interaction, the relationship between a Notified Body and a Provider (or an authorized representative) is characterized by specific obligations regarding communication, coordination, and transparency.

A Notified Body is responsible for maintaining clear lines of communication with Providers. When a Notified Body takes action regarding its own status, it is required to inform all affected Providers within 10 days if its designation has been suspended or restricted. This ensures that the Provider is timely aware of any changes that might impact their regulatory standing or operational requirements.

Furthermore, the Notified Body plays an active role in facilitating the regulatory process for the Provider. It is tasked with coordinating directly with the Provider and providing necessary instructions to streamline workflows and minimize administrative burdens. This cooperative approach is intended to simplify compliance tasks for the Provider while ensuring that regulatory standards are met efficiently.

Finally, regarding assessments, the Notified Body maintains the obligation to formally communicate its decisions concerning quality management system assessments directly to the Provider or their authorized representative. This ensures that the Provider remains fully informed of the outcomes of any audit or assessment processes, thereby fostering transparency and allowing for appropriate follow-up actions.",26.0,225
32,AI SYSTEM,TECHNICAL DOCUMENTATION,"AI systems are strictly subject to mandatory technical documentation requirements. These requirements are defined in Chapter III, Section 2 of the relevant regulations, which specifies the need for detailed documentation regarding these AI systems.",26.0,104
1716,AI REGULATORY SANDBOX,SME,"The AI regulatory sandbox is designed to facilitate the participation of small and medium-sized enterprises (SMEs), including early-stage start-ups, by providing them with a controlled environment to test innovations. As part of this initiative to lower barriers to entry and foster technological advancement, SMEs are granted free access to these AI regulatory sandboxes.",26.0,44
791,MICROENTERPRISE,QUALITY MANAGEMENT SYSTEM,"A microenterprise is entitled to specific regulatory leniencies regarding the implementation and fulfillment of a quality management system. Under Article 63, microenterprises are subject to reduced obligations, allowing them to satisfy the requirements for a quality management system in a simplified manner. These provisions ensure that microenterprises can maintain compliance without being burdened by the same extensive procedural demands placed on larger organizations.",26.0,22
92,EUROPEAN ARTIFICIAL INTELLIGENCE BOARD,AI LITERACY,"The European Artificial Intelligence Board plays a significant role in fostering an informed society regarding emerging technologies. Specifically, the European Artificial Intelligence Board is dedicated to the promotion of AI literacy. In this capacity, the Board actively supports the European Commission’s efforts to advance public awareness and understanding of artificial intelligence, while also championing the development and dissemination of AI literacy tools.",26.0,50
24,AI HLEG,ETHICS GUIDELINES FOR TRUSTWORTHY AI,"The AI HLEG (High-Level Expert Group on Artificial Intelligence) is responsible for the development of the Ethics Guidelines for Trustworthy AI. Beyond merely creating this framework, the AI HLEG utilizes the Ethics Guidelines for Trustworthy AI as a mechanism to provide essential instructions and guidance to operators in the field, ensuring that the deployment and development of artificial intelligence systems remain aligned with ethical standards.",26.0,6
860,MARKET SURVEILLANCE AUTHORITY,AI OFFICE,"The Market Surveillance Authority and the AI Office maintain a collaborative relationship centered on regulatory enforcement and oversight. The AI Office provides essential coordination support for joint investigations undertaken by the Market Surveillance Authority, ensuring a structured approach to enforcement activities. In turn, the Market Surveillance Authority cooperates directly with the AI Office to facilitate thorough evaluations of compliance and to seek assistance during complex investigations. Together, these entities work in tandem to ensure that regulatory standards are upheld and investigations are conducted effectively.",26.0,150
89,EUROPEAN ARTIFICIAL INTELLIGENCE BOARD,EUROPEAN COMMISSION,"The European Artificial Intelligence Board serves as a key advisory body to the European Commission, providing guidance on complex questions related to artificial intelligence. Furthermore, the European Artificial Intelligence Board actively supports the European Commission in its broader initiatives to promote AI literacy and enhance public awareness regarding AI technologies.",26.0,126
305,REMOTE BIOMETRIC IDENTIFICATION SYSTEM,BIOMETRICS,"The Remote Biometric Identification System is classified under the category of Biometrics. Within the regulatory framework of high-risk AI systems, Remote Biometric Identification Systems are explicitly categorized as a form of Biometrics, a designation supported by Recital 54 of the relevant legislation.",26.0,25
615,GENERAL-PURPOSE AI MODEL,COMPUTE THRESHOLD,"**General-purpose AI models** are subject to a specific **compute threshold** as a key mechanism for assessing their risk profile and capabilities. This **compute threshold**, which is currently established at 10^25 FLOPs (Floating Point Operations), serves as a critical metric for determining whether a **general-purpose AI model** possesses high-impact capabilities. By utilizing this **compute threshold** for evaluation, regulators and developers can classify **general-purpose AI models** in terms of systemic risk, ensuring that models meeting or exceeding this computational capacity are subjected to appropriate oversight and scrutiny.",26.0,47
861,AI OFFICE,MARKET SURVEILLANCE AUTHORITY,"The AI Office and market surveillance authorities work in close collaboration to ensure effective regulatory oversight. The AI Office serves as a key partner to these authorities, providing essential coordination support for joint investigations. Furthermore, the AI Office cooperates directly with market surveillance authorities by facilitating the exchange of information and working together to resolve investigations, ensuring a unified and informed approach to market oversight.",25.0,150
1428,NOTIFYING AUTHORITY,MARKET SURVEILLANCE AUTHORITY,"The NOTIFYING AUTHORITY is responsible for ensuring transparency and cooperation with the MARKET SURVEILLANCE AUTHORITY by making relevant files available to them upon request. This obligation is broad and applies to general requests for documentation. Furthermore, the NOTIFYING AUTHORITY is specifically mandated to provide these files to the MARKET SURVEILLANCE AUTHORITY upon request in circumstances involving designation changes. Together, these responsibilities ensure that the MARKET SURVEILLANCE AUTHORITY maintains access to necessary information from the NOTIFYING AUTHORITY, both during routine operations and during specific procedural transitions.",25.0,110
563,TECHNICAL DOCUMENTATION,NATIONAL COMPETENT AUTHORITY,"Technical documentation is provided to the national competent authority to facilitate compliance assessment. In addition to being submitted for the purpose of such evaluations, technical documentation must be made available to the national competent authority upon request, ensuring they have the necessary information to verify regulatory compliance.",25.0,95
1290,DISTRIBUTOR,COMPETENT AUTHORITY,"The **DISTRIBUTOR** holds specific responsibilities regarding communication and cooperation with the **COMPETENT AUTHORITY** concerning the safety and compliance of AI systems. 

When a **DISTRIBUTOR** identifies a potential risk associated with an AI system, they are obligated to inform both relevant providers and the **COMPETENT AUTHORITY**. Specifically, if the **DISTRIBUTOR** determines that a high-risk AI system poses a risk, they must proactively notify the **COMPETENT AUTHORITY** of this finding. 

Furthermore, the **DISTRIBUTOR** is required to cooperate fully with the **COMPETENT AUTHORITY** by providing all necessary information and documentation upon receiving a reasoned request. This ensures that the **COMPETENT AUTHORITY** has the required data to assess risks and maintain regulatory oversight of the systems being distributed.",24.0,33
1533,COMMISSION,MARKET SURVEILLANCE AUTHORITY,"The Commission and the national market surveillance authorities maintain a collaborative relationship centered on oversight and regulatory compliance. The Commission actively cooperates with these national market surveillance authorities to ensure that all relevant regulations are upheld. As part of this cooperative framework, the Commission is responsible for reviewing authorizations and evaluating the specific measures and actions taken by these national bodies to ensure they align with established standards.",24.0,166
665,COMMISSION,ADVISORY FORUM,"The Commission is responsible for establishing the Advisory Forum and appointing its members in accordance with Article 67. Beyond this foundational role, the Commission maintains an ongoing, collaborative relationship with the Advisory Forum, specifically regarding the development of common specifications. During the drafting of these specifications, the Commission actively cooperates with the Advisory Forum and consults with it to ensure comprehensive input.",23.0,92
666,COMMISSION,BOARD,"The Commission and the Board maintain an active, collaborative relationship centered on regulatory and technical coordination. The Commission systematically engages with the Board across several key operational areas to ensure transparency and effective governance.

Regarding financial oversight, the Commission communicates information regarding fines directly to the Board. Furthermore, the Commission proactively consults the Board during critical planning and development phases. Specifically, this consultation occurs when the Commission is in the process of preparing standardisation requests and when it is updating the functional specifications of the EU database. Additionally, the Commission transmits resource-related information to the Board to facilitate meaningful discussion and review. Through these interactions, the Commission ensures the Board remains informed and involved in relevant decision-making processes.",23.0,85
871,SCIENTIFIC PANEL,COMMISSION,"The Scientific Panel serves in an advisory and supportive capacity to the Commission, primarily focused on safeguarding against potential systemic risks. As part of this collaborative relationship, the Scientific Panel provides the Commission with qualified alerts whenever it identifies possible dangers that could impact the system at large. Furthermore, the Scientific Panel actively facilitates the Commission's oversight functions by requesting that the Commission demand necessary documentation from specific providers, ensuring greater transparency and accountability in the sector.",23.0,98
2371,TECHNICAL DOCUMENTATION,ARTICLE 11(1),"Technical documentation is a core regulatory requirement that is officially established and defined within the provisions of Article 11(1). This article serves as the foundational legal basis for the mandate, specifying both the nature of the requirement and the definition of the documentation itself. Consequently, any obligation regarding technical documentation is directly governed by the stipulations set forth in Article 11(1).",21.0,47
2438,EURODAC,REGULATION (EU) 2024/1358,"**Eurodac** and **Regulation (EU) 2024/1358** are intrinsically linked within the framework of European Union law. **Eurodac** is an information technology system established, defined, and governed by **Regulation (EU) 2024/1358**. This regulation serves as the foundational legal instrument for the system, setting out its parameters, defining its scope, and establishing the regulatory requirements that govern its operation. In essence, the existence and ongoing management of **Eurodac** are entirely codified under the provisions of **Regulation (EU) 2024/1358**.",21.0,6
2034,RIGHT TO EXPLANATION,ARTICLE 86,Right to explanation is definedInArticle 86,21.0,4
447,HUMAN OVERSIGHT,RECITAL 73,"The requirement for human oversight is explicitly defined within Recital 73. Both entities, Human Oversight and Recital 73, are interconnected in that Recital 73 serves as the regulatory framework establishing the necessity and scope of human intervention and supervision regarding the subject matter it governs. Therefore, any obligations pertaining to human oversight are mandated and structured in accordance with the provisions outlined in Recital 73.",21.0,12
1895,POST-MARKET MONITORING PLAN,ARTICLE 72,"The Post-Market Monitoring Plan is formally defined and its specific requirements are outlined within Article 72. Together, these entities establish the regulatory framework and necessary criteria for the ongoing surveillance of products after they have been placed on the market.",21.0,9
317,ESSENTIAL PUBLIC SERVICES AI SYSTEM,ESSENTIAL SERVICES,Essential public services AI systems belong to the essential services category of Annex III,20.0,6
365,"MIGRATION, ASYLUM AND BORDER CONTROL AI SYSTEM","MIGRATION, ASYLUM AND BORDER CONTROL","The ""Migration, Asylum and Border Control AI System"" and ""Migration, Asylum and Border Control"" represent a specific categorization framework focused on the deployment and governance of artificial intelligence within the domains of immigration and national security. Both the ""Migration, Asylum and Border Control AI System"" and the ""Migration, Asylum and Border Control AI systems"" are classified under the functional category of ""migration, asylum and border control."" This classification indicates that these technologies are designed to facilitate, manage, or analyze processes related to the movement of people across borders, the processing of asylum applications, and the general oversight of migration policies. Collectively, these entities highlight the intersection of advanced automated decision-making tools and the high-stakes administrative and legal environments of border security and refugee management.",20.0,14
349,LAW ENFORCEMENT AUTHORITY,LAW ENFORCEMENT,"Law enforcement authorities are the entities responsible for performing the activity of law enforcement. In the scope of their duties, these authorities utilize AI systems that are classified within the Law Enforcement Annex III Category.",20.0,41
1869,NATIONAL COMPETENT AUTHORITY,CONFIDENTIALITY OBLIGATION,National competent authorities are subject to confidentiality obligations as defined in Article 78. These provisions ensure that the National competent authorities must adhere to the specific confidentiality obligation requirements set forth by this article.,20.0,55
2450,TECHNICAL DOCUMENTATION,ANNEX XI,"The Technical Documentation and Annex XI are intrinsically linked, as Annex XI serves as the regulatory framework governing the technical documentation. Specifically, Annex XI details the necessary requirements for technical documentation, including the definition of its required content. Collectively, these elements ensure that all technical documentation adheres to the standards and specifications mandated by the provisions set forth in Annex XI.",20.0,49
1928,MARKET SURVEILLANCE AUTHORITY,ARTICLE 74,"Article 74 defines the scope of responsibilities for the Market Surveillance Authority. Specifically, this article outlines both the market surveillance and control duties that the authority is mandated to perform, ensuring the comprehensive oversight and regulation of market activities.",20.0,89
2449,TECHNICAL DOCUMENTATION,ARTICLE 53(1)(A),"In accordance with the regulatory requirements set forth in Article 53(1)(a), the creation and maintenance of technical documentation are mandatory. This provision establishes that technical documentation must be prepared and kept in compliance with Article 53(1)(a).",20.0,47
316,EMPLOYMENT AND WORKERS MANAGEMENT AI SYSTEM,EMPLOYMENT,Employment and workers management AI systems belong to the employment category of Annex III,20.0,8
315,EDUCATION AND TRAINING AI SYSTEM,EDUCATION,Education and training AI systems belong to the education category of Annex III,20.0,6
1129,DELEGATED ACT,ARTICLE 7(3),The power to adopt delegated acts for Annex III amendments is definedInArticle 7(3),20.0,31
2314,ANNEX III,ARTICLE 6(2),"Annex III and Article 6(2) are interrelated components within the regulatory framework for artificial intelligence. Specifically, Article 6(2) establishes the criteria and classification for high-risk AI systems. Annex III serves as the definitive reference for this classification, as it provides the specific list of high-risk AI systems that are subject to the requirements defined by Article 6(2). Together, they function to clearly identify and categorize those AI systems deemed to be high-risk.",20.0,18
1132,UNION HARMONISATION LEGISLATION,ANNEX I,"**UNION HARMONISATION LEGISLATION** is documented within **ANNEX I**. Specifically, this legislation is organized and listed under Section A of **ANNEX I**.",20.0,19
1125,RISK ASSESSMENT CRITERIA,ARTICLE 7(2),The Risk Assessment Criteria are explicitly established and defined within the provisions of Article 7(2).,20.0,4
1121,ARTICLE 97,DELEGATED ACTS AMENDING ANNEX III,Delegated acts are adopted in accordance with Article 97,20.0,10
1119,DELEGATED ACTS AMENDING ANNEX III,ANNEX III,Delegated acts modifies Annex III,20.0,21
